Token,Num_Labels,Num_Occurrences
và,22,34289
của,22,25180
cho,22,24477
các,22,22746
được,22,20481
là,22,20418
có,22,19509
với,22,18160
trong,22,17395
không,22,14647
những,22,13306
để,22,13252
một,22,11038
khi,22,10593
sẽ,22,10035
nhiều,22,9691
đã,22,9483
đến,22,9299
người,22,8907
bạn,22,8613
vào,22,8578
từ,22,8430
này,22,8093
có_thể,22,7912
cũng,22,7808
như,22,7633
trên,22,7000
hơn,22,6727
làm,22,6682
về,22,6450
đó,22,6439
ra,21,6378
năm,22,6215
tại,22,6192
ở,22,6182
sản_phẩm,21,5859
bé,15,5835
nước,22,5812
sử_dụng,22,5745
rất,22,5594
nên,22,5306
lại,21,5274
ăn,20,5247
thì,22,5162
nhất,22,5124
nhà,21,5115
còn,22,4983
sự,22,4958
phải,22,4906
mẹ,14,4844
mà,22,4780
cao,22,4765
theo,22,4757
1,22,4623
con,20,4427
giúp,21,4380
việc,22,4251
chỉ,22,4193
bị,22,4120
mới,22,4003
sau,22,3985
2,22,3905
game,9,3895
thêm,22,3795
lên,22,3788
mình,22,3733
mang,21,3688
hoặc,22,3684
cần,22,3669
nhưng,22,3655
ngày,22,3612
loại,21,3609
khác,22,3548
tốt,21,3415
Việt_Nam,22,3412
hay,21,3387
cùng,22,3382
thị_trường,20,3200
bằng,21,3198
đang,21,3186
đi,22,3168
3,21,3148
dùng,20,3116
phát_triển,21,3077
tạo,22,3003
da,18,3001
đầu_tư,21,2950
trẻ,20,2935
màu,19,2820
nhỏ,21,2806
đều,22,2681
tăng,22,2637
hàng,21,2636
thời_gian,21,2621
cả,22,2584
biết,21,2548
lớn,22,2542
trước,22,2522
vẫn,22,2511
chơi,19,2461
tới,22,2417
tháng,22,2404
đây,21,2380
qua,21,2379
Theo,22,2338
món,17,2334
giá,21,2325
thiết_kế,20,2309
chất_lượng,22,2303
chúng_tôi,21,2211
luôn,22,2211
chính,22,2183
phòng,19,2140
lần,22,2120
vì,21,2116
cách,21,2110
máy,19,2074
đầu,22,2057
vừa,21,2047
Các,21,2047
Với,21,2025
sản_xuất,22,2011
khoảng,21,2006
đường,21,1997
dự_án,16,1983
hai,21,1951
an_toàn,21,1948
thông_tin,22,1921
nhau,22,1917
