Token,Num_Labels,Num_Occurrences
và,22,34881
của,22,25204
cho,22,25088
các,22,24844
được,22,21048
là,22,20743
có,22,20232
với,22,20215
trong,22,19290
không,22,16251
những,22,14453
để,22,14168
khi,22,11925
một,22,11802
nhiều,22,10151
sẽ,22,10076
đến,22,9682
đã,22,9566
bạn,22,9438
người,22,9318
từ,22,9087
vào,22,8755
sản_phẩm,21,8699
có_thể,22,8378
này,22,8113
cũng,22,8044
như,22,7925
trên,22,7291
theo,22,7108
làm,22,6982
hơn,22,6923
tại,22,6814
về,22,6795
đó,22,6749
năm,22,6667
ra,21,6620
ở,22,6496
sử_dụng,22,6446
bé,15,6180
nước,22,6111
rất,22,5723
nên,22,5540
mẹ,14,5391
ăn,20,5388
còn,22,5379
nhà,21,5354
lại,21,5333
sau,22,5301
sự,22,5250
nhất,22,5247
thì,22,5187
phải,22,4965
mà,22,4841
việc,22,4833
cao,22,4817
1,22,4623
chỉ,22,4594
con,20,4563
việt,22,4543
giúp,21,4517
nam,22,4507
nhưng,22,4297
bị,22,4149
game,9,4061
mới,22,4026
thêm,22,4011
thông_tin,22,4005
mình,22,3978
2,22,3905
loại,21,3886
ngày,22,3856
mang,21,3841
cần,22,3828
lên,22,3807
hoặc,22,3804
cùng,22,3701
khác,22,3593
bộ,22,3564
dùng,20,3514
hay,21,3479
tốt,21,3462
thị_trường,20,3370
bằng,21,3346
đây,21,3303
đi,22,3252
phát_triển,21,3218
đang,21,3206
đầu_tư,21,3165
tạo,22,3150
3,21,3148
trẻ,20,3132
nếu,22,3127
màu,19,3121
da,18,3097
thời_gian,21,2964
hàng,21,2955
thiết_kế,20,2930
trước,22,2894
nhỏ,21,2857
cách,21,2820
tăng,22,2732
công_ty,21,2702
chúng_tôi,21,2686
đều,22,2684
cả,22,2669
giá,21,2641
lớn,22,2579
máy,19,2575
mọi,22,2571
biết,21,2568
vẫn,22,2566
qua,21,2527
chính,22,2515
phòng,20,2489
bên,22,2484
chơi,19,2478
tháng,22,2466
món,17,2464
chất_lượng,22,2453
tới,22,2446
vì,21,2443
thương_hiệu,20,2429
đường,21,2301
sản_xuất,22,2300
luôn,22,2298
do,22,2294
độ,21,2292
hai,21,2263
dự_án,16,2260
đầu,22,2211
lần,22,2162
sữa,14,2138
vừa,21,2108
khoảng,21,2099
đặc_biệt,22,2049
ngay,22,2048
an_toàn,21,2020
ngoài,21,2018
mỗi,22,2005
cung_cấp,21,1986
chưa,22,1984
đồng,22,1969
nhau,22,1923
mua,21,1914
hoạt_động,22,1882
số,22,1878
khách_hàng,19,1871
quá,21,1852
điều,21,1852
gây,21,1850
thấy,21,1840
xây_dựng,20,1795
nào,21,1791
khiến,20,1786
giảm,22,1763
đẹp,20,1755
chống,21,1747
rồi,20,1745
anh,22,1718
4,21,1709
dịch_vụ,20,1706
phù_hợp,21,1673
chị,16,1664
dễ_dàng,21,1659
một_số,22,1659
xem,22,1658
ông,21,1649
thực_hiện,22,1637
doanh_nghiệp,17,1630
phần,21,1620
đạt,22,1612
chất_liệu,12,1608
chiếc,19,1606
bất_động_sản,8,1601
thường,21,1600
đảm_bảo,20,1599
không_gian,16,1595
khả_năng,21,1581
nóng,21,1579
chất,19,1572
5,21,1558
rằng,21,1538
nơi,22,1537
sạch,19,1533
điểm,22,1527
gia_đình,20,1518
đồ,19,1513
thứ,21,1510
từng,21,1494
hiệu_quả,21,1492
lựa_chọn,21,1482
giữa,21,1478
thủ,13,1469
nguồn,21,1463
dễ,22,1460
vốn,21,1457
so,22,1441
tránh,20,1435
tay,19,1432
bà,20,1429
thế_giới,21,1428
tuy_nhiên,22,1425
đưa,21,1423
gần,22,1418
hà_nội,21,1417
10,22,1413
tính,22,1407
nhận,21,1403
hãy,19,1401
hệ_thống,22,1396
tổ_chức,21,1394
thiết_bị,17,1393
em,16,1393
bán,21,1390
sáng,21,1390
bởi,21,1390
khá,21,1387
thịt,12,1387
công_nghệ,22,1383
xe,21,1372
giữ,21,1367
thành,22,1357
rửa,12,1342
đủ,21,1333
chọn,21,1333
mức,22,1331
sinh,19,1320
đối_với,21,1318
bình,20,1316
đặt,21,1315
cao_cấp,17,1315
x,15,1303
tuổi,20,1303
gì,20,1303
6,22,1288
lúc,21,1287
lớp,19,1284
thực_phẩm,16,1273
hoa,20,1272
dưới,21,1261
địa_chỉ,19,1259
nhu_cầu,21,1248
dòng,21,1248
cô,16,1242
ngủ,15,1237
khô,12,1230
lấy,21,1227
bệnh,16,1222
ngon,13,1211
bột,10,1204
nói,21,1202
hỗ_trợ,21,1201
dành,22,1189
tất_cả,21,1187
mặt,21,1182
kích_thước,13,1181
khu_vực,21,1177
đông,21,1176
hotline,11,1176
nhanh,21,1173
thơm,13,1171
họ,20,1170
tỷ,20,1169
nhựa,13,1169
trường,21,1158
muốn,21,1157
sức_khỏe,19,1147
hiện_nay,22,1142
nữa,21,1138
tên,21,1132
bước,20,1130
đúng,21,1129
cấp,20,1127
tiếp_tục,21,1126
quận,18,1121
tiền,20,1117
thai,10,1115
dài,20,1112
uống,20,1104
hương,16,1097
cái,20,1093
kết_hợp,20,1093
kinh_doanh,19,1086
giờ,21,1084
phút,19,1074
giao_dịch,14,1073
ý_kiến,19,1072
triệu,21,1072
thích,18,1067
gửi,21,1065
ảnh,21,1056
hiện_đại,20,1056
khu,21,1055
lượng,20,1055
khách,20,1054
xanh,18,1053
ít,22,1050
du_lịch,20,1050
vệ_sinh,19,1048
bánh,15,1047
đất,20,1045
gỗ,18,1044
2018,21,1042
email,15,1037
quá_trình,21,1027
nay,22,1025
tp,20,1013
trực_tiếp,21,1012
2017,21,1011
nó,21,1009
đơn_giản,19,1008
hướng_dẫn,19,1005
cạnh,22,1004
vải,12,1003
trắng,19,996
riêng,21,992
châu,22,988
thật,19,985
thuốc,17,979
tôi,20,978
12,22,973
dầu,15,970
ngành,20,967
giá_trị,21,963
quản_lý,20,958
thái,20,956
gà,14,952
hãng,17,951
quan_trọng,21,949
cơ_thể,12,948
vị,19,947
y_tế,14,941
bếp,12,939
phong_cách,18,937
yêu,17,936
thông_số,9,935
20,22,925
mỹ,21,925
cổ_phiếu,7,922
đem,20,918
điện,21,916
kinh_tế,19,915
vấn_đề,20,913
màu_sắc,13,907
đầu_tiên,21,904
nhìn,21,899
tiếng,20,898
hoàn_toàn,20,897
đồng_thời,21,890
môi_trường,22,890
hạt,13,890
chứa,18,889
khó,21,888
tham_gia,20,884
thế,20,884
mạnh,20,878
cá,14,877
tướng,8,877
mở,21,875
nồi,9,874
đơn_vị,19,873
bảo_vệ,19,873
sạc,7,872
không_thể,21,871
cơ_sở,18,868
hiện,20,868
bữa,17,868
hết,21,867
bảo_hành,10,865
bầu,13,863
dây,18,860
thay_đổi,21,851
tìm,21,850
thành_phần,18,848
tphcm,18,847
nguyên_liệu,14,845
vàng,20,845
usb,6,844
nền,20,842
nhà_nước,13,841
chi_tiết,20,841
ngoài_ra,22,839
nâng,20,839
cảm_giác,20,839
căn,13,835
ảnh_hưởng,20,835
mùi,13,832
lĩnh_vực,19,832
mất,21,829
mẫu,19,826
đèn,14,822
lá,15,822
bản,21,820
quốc_gia,21,818
sở_hữu,21,818
làm_việc,21,818
chắc_chắn,21,816
trải,21,812
nhằm,21,812
trở_thành,21,811
dù,21,810
học,20,808
minh,21,805
cây,18,803
chiều,20,803
hấp_dẫn,20,801
kem,9,797
100,21,795
tính_năng,13,795
phản_ánh,18,794
liên_hệ,16,794
chia_sẻ,20,789
bàn,18,786
đánh_giá,21,785
kỳ,22,783
quán,15,781
tổng,21,779
nhờ,21,777
rau,11,776
mùa,21,776
nhẹ,20,775
trung_tâm,20,775
nhanh_chóng,21,774
tuần,19,773
tự,19,772
chủ,21,771
bỏ,21,771
tỉnh,20,766
mắt,20,766
vòng,21,764
vị_trí,21,763
cổ_phần,16,761
thiếu,21,760
pin,13,759
30,22,759
công_tác,18,757
