Token,Num_Labels,Num_Occurrences
bhxh,3,3613
bhyt,3,1606
căn_hộ,9,1376
hương_vị,9,1001
usb,6,860
nướng,10,812
tướng,9,803
thủ_tướng,10,791
hành_khách,9,682
tôm,10,679
gia_vị,10,665
tel,5,645
cộng_tác,8,643
bài_vở,7,635
vitamin,10,632
banbientapicomvn,6,632
bệnh_nhân,10,620
váy,9,619
viễn_thông,10,592
bảo_hiểm_xã_hội,4,585
quy_hoạch,10,561
người_bệnh,7,561
thuê_bao,5,560
ubnd,10,552
thực_khách,4,549
nhà_trường,10,549
dặm,7,536
chiên,10,529
inox,8,516
quý_khách,10,514
giòn,6,510
đun,9,492
nến,10,488
lẩu,6,486
sofa,8,483
ốc,9,483
sôi,9,475
thìa,8,471
ớt,9,466
nghỉ_dưỡng,10,464
muỗng,6,461
viettel,7,455
bún,6,454
vận_tải,10,446
phát_điện,8,445
năm_học,6,443
hàng_không,10,437
cháo,10,429
cay,9,425
lãi_suất,7,424
chảo,8,423
dừa,10,422
dưỡng,10,420
mobile,6,419
thun,6,417
tiêm,7,414
bú,5,413
quốc_hội,8,411
tai_nghe,5,408
trung_ương,9,405
sgk,1,398
thai_nhi,4,398
gr,10,397
tinh_dầu,7,396
chung_cư,10,393
viêm,10,393
gừng,6,390
đảng,8,386
dung_tích,10,384
quý_khách_hàng,8,384
dn,8,384
heo,9,374
airlines,10,373
nêm,7,372
luộc,8,372
bđs,5,369
cảm_biến,5,367
man,8,363
mỹ_phẩm,10,362
tần,6,357
thực_đơn,7,354
xay,10,353
nệm,6,351
tự_nguyện,7,350
tiểu_học,9,348
cầu_thủ,10,333
tỏi,5,333
tài_xế,7,330
biệt_thự,10,329
khai_giảng,2,326
nước_hoa,8,324
html,4,321
đậm_đà,6,320
bơ,7,316
omron,2,315
tử_cung,3,310
mobifone,4,309
ban_hành,10,309
chua,8,308
hlv,9,306
nghị_quyết,9,306
trang_điểm,9,306
mổ,10,302
mụn,8,301
bảo_hiểm_tế,5,301
chén,8,301
ướp,6,300
gdđt,7,300
thanh_tra,10,299
đồng_phục,9,299
vách,9,298
hấp,8,295
hiv,5,295
vịt,10,294
chiết_xuất,9,292
bảo_an,6,291
cải_cách,10,291
băm,4,290
nghị_định,10,290
nước_mắm,5,289
nàng,9,286
dung_lượng,9,286
tế_bào,10,285
coffee,6,281
hải_sản,10,280
rà_soát,10,280
cà_chua,9,275
ván,6,274
quạt,8,271
cấp_cứu,8,270
vnpt,3,269
sơ_sinh,10,268
ndđt,3,267
tuyên_truyền,9,266
đầm,10,263
mts,2,262
sensor,2,259
canxi,5,254
lotus,6,252
giám_định,4,251
set,8,250
đh,7,249
diệt,9,249
tử_vong,10,248
phở,6,246
nlđ,2,245
chậu,9,245
cà_rốt,5,244
thí_sinh,8,243
chiến_thuật,9,243
hiệu_trưởng,7,241
trợ_cấp,6,241
sim,7,238
tiêu_hóa,10,238
kcb,2,236
chính_quyền,9,234
gamek,1,232
ronaldo,5,231
thông_tư,9,230
thoa,9,230
nhnn,3,229
đội_hình,2,228
đề_án,9,227
nhuyễn,7,226
đường_bay,5,225
ngon_miệng,8,222
cao_tốc,6,221
đồng_chí,6,220
áo_dài,9,220
hoa_hậu,5,220
iphone,7,220
dưỡng_chất,6,219
thất_nghiệp,6,219
tiền_lương,8,218
massage,10,217
diễn_viên,8,217
sỉ,7,216
đại_biểu,10,216
tỉnh_thành_phố,9,212
thứ_trưởng,8,211
real,5,211
bluetooth,4,210
tiêm_chủng,3,210
nước_dùng,6,209
decal,5,209
nhà_mạng,3,208
acv,4,208
smc,3,207
đậy,9,207
đa_khoa,9,206
bamboo,3,206
mặn,10,206
thcs,6,205
bs,7,203
ốp,10,203
kẹo,9,203
sản_phẩm_chất_liệu,3,202
tỉ,10,202
