Token,Num_Labels,Num_Occurrences
game,11,4073
bất_động_sản,8,1601
bột,10,1217
thai,11,1177
mm,9,1100
ml,9,985
thông_số,10,936
cổ_phiếu,7,923
tướng,11,881
nồi,10,881
sạc,9,875
usb,6,862
kem,10,808
căn_hộ,7,789
độc_giả,11,756
tắm,10,725
bền,9,715
cộng_tác,7,699
bài_vở,6,695
banbientapicomvn,5,694
loa,7,691
vitamin,10,660
thủ_tướng,11,612
muối,11,597
hương_vị,8,586
kiểu_dáng,11,578
nướng,8,577
nhân_vật,11,555
dặm,7,552
rác,9,548
nến,8,532
nắp,10,521
gia_vị,10,513
thủy_tinh,11,501
chứng_khoán,8,496
phát_điện,4,492
tôm,7,491
thìa,7,483
inox,7,475
bề_mặt,11,473
mobile,7,469
trọng_lượng,10,462
camera,9,454
cháo,9,450
ngâm,10,443
dưỡng,9,443
đun,10,437
trò_chơi,10,433
bú,5,430
bát,11,428
giặt,9,418
trộn,10,412
bệnh_nhân,11,408
tai_nghe,7,408
tinh_dầu,7,406
thai_nhi,5,406
sôi,10,405
mềm_mại,11,402
quỹ,11,401
dung_tích,8,400
người_bệnh,7,399
di_động,11,394
quy_hoạch,10,389
chảo,8,386
ubnd,10,382
lít,9,378
mỹ_phẩm,8,372
bđs,3,370
cảm_biến,4,368
động_cơ,9,365
viêm,11,363
đĩa,11,363
xào,10,363
gam,11,362
kệ,9,358
niêm_yết,10,356
hạ_tầng,11,356
omron,2,349
váy,8,347
nêm,8,344
bố_mẹ,8,344
dừa,10,340
gr,8,340
lò,10,339
quý_khách,6,339
muỗng,6,334
thực_khách,4,334
nàng,10,333
bảo_an,4,331
led,8,325
xay,8,325
phiên,11,325
tần,3,323
mụn,7,323
ớt,8,321
đứa,11,318
trái_cây,9,318
nhân_dân,10,317
tử_cung,3,317
mẫu_mã,8,317
du_khách,11,316
nước_hoa,7,314
trang_điểm,8,314
chậu,11,311
gừng,5,310
tỏi,7,308
ho,11,307
đô_thị,11,307
vách,6,306
quần,9,301
cha_mẹ,10,301
chiết_xuất,7,298
mổ,6,298
sơ_sinh,7,294
ốc,10,294
tiện_dụng,11,293
tre,11,292
nhôm,9,291
lẩu,6,290
cao_su,9,290
tiêm,6,289
chén,8,288
não,11,287
đảng,9,286
nhà_trường,7,284
sofa,7,283
ma,8,283
dạy,11,282
giòn,5,282
quạt,8,279
lotus,7,278
gamek,1,276
xốp,9,276
chiên,9,276
tế_bào,8,274
cay,8,274
vận_tải,11,273
công_dụng,11,273
đại_lý,11,272
tín_dụng,9,271
luộc,9,270
phấn,8,267
móng,10,266
canxi,6,266
đóng_gói,10,265
băm,4,263
nệm,7,262
diệt,9,262
mts,1,259
sensor,2,259
hành_khách,5,257
khuẩn,8,257
giấc_ngủ,9,257
ván,7,256
chung_cư,11,255
lệnh,11,254
chiến_thuật,4,252
cấp_cứu,7,252
lưu_trữ,11,251
quốc_hội,8,250
dịu,9,249
sườn,10,248
bộ_trưởng,10,246
dung_lượng,8,245
thoa,8,245
link,8,244
lưới,10,243
nghỉ_dưỡng,6,242
quý_khách_hàng,7,242
cà_rốt,5,242
hấp,7,240
ngực,9,239
phụ_huynh,9,239
thực_đơn,6,239
bơ,7,237
web,11,236
đội_hình,3,234
tiêu_hóa,9,234
kim_loại,10,234
trung_ương,11,232
hầm,11,230
con_gái,11,230
trận_đấu,4,228
tel,5,228
sản_phẩm_chất_liệu,3,227
chiến_đấu,9,226
tăng_giá,7,225
ngân_sách,10,224
giáo_viên,11,221
chanh,10,220
vi_khuẩn,11,220
kháng,11,219
smc,2,215
phẫu_thuật,9,215
khỏe_mạnh,11,215
dưỡng_chất,7,214
ướp,5,213
ung_thư,10,213
đồ_họa,6,212
heo,8,211
dn,8,210
phun,11,209
lãng_mạn,11,209
dễ_chịu,11,209
béo,11,208
tưới,9,208
bluetooth,4,208
mobifone,4,207
son,8,207
khóc,8,206
đậy,9,205
phơi,9,204
khoe,11,202
vi_sóng,3,201
biệt_thự,8,201
huy_động,10,201
đối_thủ,11,201
chịu_nhiệt,5,200
chuối,8,200
nhuyễn,6,200
mật_ong,8,199
nhập_vai,3,199
city,11,198
nước_mắm,6,198
decal,3,197
cổ_phần_hóa,7,197
đc,11,197
tẩy,11,197
chả,10,196
ẩm_thực,8,195
khánh,11,195
locklock,2,195
hz,4,194
trái_phiếu,4,192
sinh_hoạt,11,192
massage,6,190
vui_lòng,10,190
kw,4,190
cương,9,189
kẹo,9,189
cảm,11,189
nguội,7,189
pp,5,187
asean,11,187
yaskawa,2,186
ủy_ban,10,186
chiến_thắng,11,185
thần,9,184
khu_đô_thị,10,183
gạch,10,183
pc,4,182
viễn_thông,8,182
chua,8,182
tủ_lạnh,11,181
êm_ái,10,181
bún,6,180
drap,1,180
cài_đặt,7,180
hội_đồng,11,180
đường_sắt,9,179
nhà_bếp,8,178
đẻ,9,178
mặn,11,176
nợ,9,176
phiếu,10,176
xịt,10,175
đường_kính,8,175
group,11,174
mặt_nạ,9,173
cơ_quan_chức_năng,11,173
ngon_miệng,6,173
hiển_thị,9,173
khuôn,11,171
diễn_viên,6,171
gia_dụng,7,171
quốc_lộ,6,170
khử,9,170
đồng_chí,5,170
côn_trùng,8,170
gỉ,6,170
cửa_sổ,11,170
cuộn,11,170
cải,10,170
chần,5,170
cháu,8,170
cafe,10,170
xét_nghiệm,5,169
loài,9,169
cà_chua,7,168
tinh_chất,5,168
ngọt_ngào,10,168
sen,10,168
điều_tra,11,168
hiến,7,167
xinh_xắn,9,167
dạ_dày,5,166
chứng_chỉ,11,166
nhân_lực,11,166
chó,10,166
khán_giả,7,166
micro,4,166
cọ,7,165
gan,10,165
bút,11,165
lông,11,164
dê,9,164
lực_lượng,10,164
địch,4,164
sản_phẩm_chất_lượng,9,163
nghị_quyết,10,163
đồ_đạc,10,163
tử_vong,7,163
dân_cư,11,163
honda,8,162
tương_thích,6,162
đậm_đà,6,162
ndđt,2,162
nâu,11,161
ấm_cúng,6,161
phổi,6,161
cúm,7,161
xcm,6,161
cốc,10,161
xơ,11,160
rà_soát,11,160
miễn_dịch,8,160
nguyên_chất,8,160
mồ_hôi,9,159
sinh_tồn,5,159
dân_số,10,159
cỏ,11,159
set,8,158
móc,11,158
đại_biểu,8,158
socola,5,156
hô_hấp,9,156
luminarc,1,155
truyện,6,155
táo,11,155
ghép,11,154
gtvt,6,154
ủi,7,154
chùa,11,154
plc,3,154
bảo_hộ,8,152
yến_mạch,3,152
hlv,5,152
cầu_thang,9,152
ốp,8,152
iphone,6,151
chính_trị,10,151
thần_kinh,11,151
nếp,10,150
hoa_quả,8,149
cổ_đông,9,149
viettel,5,149
bền_bỉ,8,149
súng,9,149
thực_vật,10,149
server,3,149
không_gỉ,5,148
đai,10,148
bể,11,148
lễ_hội,11,148
độ_ẩm,8,147
áo_khoác,6,147
thi_đấu,5,146
đa_khoa,9,146
bs,6,145
khung_cảnh,7,145
hấp_thụ,9,145
kts,4,145
chất_béo,7,144
đề_án,10,144
súp,7,144
lãi_suất,7,144
hàng_không,8,144
gas,8,143
van,10,143
nhiễm_trùng,6,143
sưu_tập,11,143
tiện_nghi,9,143
lanaform,1,142
thanh_niên,9,142
ồn,10,142
thể_loại,7,142
bản_đồ,5,142
khẩu_vị,8,141
tổn_thương,9,141
sức_sống,11,141
thu_thập,9,141
tiêm_chủng,3,141
đặc_tính,11,141
khuấy,6,141
ms,7,141
vé,9,141
thanh_lịch,10,141
đặt_hàng,11,140
hoa_hồng,9,140
hàm_lượng,9,140
bắn,10,140
rang,9,140
minh_bạch,11,139
bánh_xe,9,139
gameplay,1,138
sữa_chua,5,138
smartphone,10,138
triệu_chứng,8,137
autonics,2,137
huyết_áp,9,137
cấu_tạo,5,137
chính_quyền,10,137
cnc,3,137
laser,7,137
tư_thế,10,137
đấu_thầu,8,136
hoa_văn,7,136
chuyển_nhượng,10,136
model,6,136
quỳnh_trang,5,135
condotel,1,135
ngoại_giao,9,135
sân_khấu,10,135
con_trai,9,134
sáp,4,134
gel,5,134
gốm,8,134
richell,1,134
điện_áp,3,134
valve,4,133
chùi,4,133
vòi,11,133
android,6,132
len,6,132
đòn,6,132
cong,11,132
gb,3,132
ấm_áp,11,132
dáng,10,132
bóc,10,131
bỉm,2,131
bệnh_nhi,3,131
doosan,1,130
dẻo,10,130
hiệu_trưởng,6,130
vnpt,4,130
giao_lưu,11,130
dịu_dàng,8,130
man,9,129
thảo,11,129
môi_giới,7,129
dưa,9,129
địa_ốc,2,128
in,11,128
boss,5,128
nph,1,128
chay,11,128
cơ_cấu,10,128
ftramart,1,128
fanpage,7,128
bọt,10,128
cảm_ứng,11,127
series,10,127
đường_nét,8,127
mịn_màng,9,127
virus,4,127
thanh_tra,10,126
bàn_giao,10,126
vũ_khí,11,126
coffee,8,126
bền_màu,6,125
khô_ráo,7,125
tuổi_thọ,10,125
xoài,7,124
hâm_mộ,9,124
igbt,1,124
vnindex,3,124
giấm,6,123
xông,7,123
sát_thương,2,123
mờ,10,123
mah,2,123
airlines,6,123
dễ_thương,10,123
hư,10,123
trầy_xước,6,123
melamine,3,123
trường_học,11,122
áp_suất,7,122
laptop,8,122
đúc,11,121
cầu_thủ,5,121
hữu_ích,11,121
ng,7,121
đấu_giá,9,121
kỷ_luật,6,121
lõi,10,121
đồngcổ,4,121
