Token,Num_Labels,Num_Occurrences
game,9,3365
bất_động_sản,7,1275
chất_liệu,11,1263
bột,8,976
hotline,11,961
thai,10,921
mm,8,837
vải,11,793
ml,8,770
thông_số,9,752
usb,6,741
cổ_phiếu,5,732
nồi,9,712
rau,11,674
bảo_hành,9,661
sạc,7,656
tướng,9,650
dinh_dưỡng,9,648
tính_năng,11,617
độc_giả,10,605
kem,9,591
căn_hộ,6,585
pin,10,578
cộng_tác,7,559
bài_vở,6,556
bền,7,556
banbientapicomvn,5,554
trứng,11,552
bảo_quản,11,548
vỏ,10,519
vitamin,9,492
muối,10,490
thưởng_thức,11,480
thủ_tướng,11,475
loa,5,471
hương_vị,7,461
nướng,7,446
tắm,9,444
dặm,6,436
gia_vị,9,432
nắp,8,431
nến,7,427
kiểu_dáng,11,427
bò,10,425
lắp_đặt,11,418
thầy,9,415
tôm,6,410
huyện,11,407
cơm,10,405
nội_thất,10,398
thìa,6,398
nhân_vật,8,396
đun,8,384
bề_mặt,10,380
inox,7,378
trận,11,378
thủy_tinh,10,376
mobile,7,375
trọng_lượng,8,373
chứng_khoán,6,369
cháo,7,369
ẩm,11,366
phát_điện,4,365
ngâm,8,363
quần_áo,8,362
đựng,9,357
dưỡng,8,351
máy_tính,11,349
bđs,3,345
thai_nhi,3,343
sôi,8,342
tai_nghe,4,337
bú,3,333
giặt,9,333
trò_chơi,10,324
tinh_dầu,6,321
bát,11,321
cáp,10,318
dung_tích,8,310
quy_hoạch,8,310
quỹ,9,309
màn_hình,11,309
rác,6,308
thoáng,10,305
di_động,9,305
chữa,10,305
omron,2,303
chăn,10,303
nêm,5,302
trộn,9,301
muỗng,6,301
chảo,8,301
mềm_mại,10,300
xào,8,300
lau,10,299
hạ_tầng,10,297
phim,11,294
kỹ_năng,10,290
cán_bộ,11,288
đĩa,11,287
camera,7,279
váy,5,279
lò,9,278
quý_khách,6,278
động_cơ,7,273
niêm_yết,8,273
phiên,9,270
gối,9,270
pháp_luật,11,270
tử_cung,3,269
bảo_an,3,268
mỹ_phẩm,6,268
nàng,10,268
bố_mẹ,5,268
gr,7,266
tần,2,266
ubnd,10,265
trang_điểm,7,265
lít,8,263
cắm,11,261
thi_công,11,261
đồ_dùng,11,260
nhôm,8,258
tỏi,4,257
môi,10,257
ma,8,255
màng,10,255
trang_phục,11,254
thùng,10,254
dừa,9,252
ớt,5,252
xay,6,252
khăn,11,250
ánh,11,250
chiết_xuất,7,248
trái_cây,9,248
mẫu_mã,8,246
mụn,6,245
ván,6,245
viêm,9,244
vách,6,243
nước_hoa,6,242
ốc,8,241
mặc,11,237
thực_khách,3,235
đại_lý,10,235
cao_su,8,235
miệng,9,234
quần,9,233
đô_thị,11,232
gạo,10,231
quạt,7,230
tiện_dụng,10,230
luộc,7,228
băm,3,228
vết,11,227
khớp,9,225
chiên,9,225
led,7,224
giòn,5,224
gam,10,224
đứa,8,222
cha_mẹ,9,222
tế_bào,8,222
canxi,6,221
nhà_trường,6,220
móng,9,220
gừng,4,218
nệm,6,218
gamek,1,216
lotus,6,216
lẩu,5,215
tim,11,215
công_dụng,10,215
nghỉ_dưỡng,5,214
chén,8,213
sườn,8,213
vietnam,11,213
đóng_gói,9,212
xương,11,212
ho,8,212
phấn,6,211
xốp,7,209
link,8,209
người_bệnh,5,207
cay,7,207
ngực,8,207
nhân_dân,10,207
web,11,207
