Token,Num_Labels,Num_Occurrences
game,9,4065
bất_động_sản,9,1604
bột,10,1210
hotline,11,1198
thai,10,1182
mm,10,1099
ml,9,980
thông_số,9,937
cổ_phiếu,7,924
bảo_hành,10,881
sạc,9,880
tướng,10,878
nồi,10,871
usb,7,863
kem,10,796
dinh_dưỡng,11,785
độc_giả,10,753
bền,9,703
cộng_tác,8,700
bài_vở,6,695
banbientapicomvn,5,693
loa,7,691
căn_hộ,7,666
vitamin,9,657
thủ_tướng,11,615
tắm,10,600
muối,11,588
rác,8,575
hương_vị,7,561
dặm,6,551
kiểu_dáng,11,548
nướng,8,534
di_động,10,524
nến,8,524
nắp,9,520
thầy,10,504
gia_vị,10,502
chứng_khoán,8,496
phát_điện,4,494
nhân_vật,9,487
tôm,7,487
thủy_tinh,10,486
thìa,7,485
mobile,7,474
đựng,11,471
inox,7,468
trọng_lượng,9,461
camera,9,454
bú,5,451
dưỡng,10,445
ngâm,8,441
đun,8,434
cháo,9,433
trò_chơi,11,427
quỹ,11,421
giặt,9,415
quy_hoạch,10,411
thai_nhi,4,409
tai_nghe,5,406
tinh_dầu,7,405
sôi,9,404
viễn_thông,8,404
dung_tích,8,400
hạ_tầng,11,400
người_bệnh,6,396
mềm_mại,11,387
bệnh_nhân,11,380
lít,9,379
ubnd,10,379
bát,11,378
tần,3,377
trộn,10,373
chảo,8,373
viêm,10,373
bđs,3,370
cảm_biến,4,368
mỹ_phẩm,6,365
lò,10,365
xào,10,359
niêm_yết,9,356
động_cơ,8,354
omron,2,349
đĩa,11,347
màng,11,343
váy,7,341
gr,7,339
quý_khách,6,339
nêm,7,337
bố_mẹ,8,335
muỗng,6,334
nhân_dân,11,333
gối,11,332
phiên,11,331
dừa,10,327
mụn,7,323
tử_cung,3,323
bảo_an,3,321
xay,8,320
led,7,319
nước_hoa,7,314
mẫu_mã,8,314
trái_cây,9,314
mổ,6,314
trang_điểm,7,313
nàng,10,309
gừng,4,306
ho,10,305
tỏi,6,303
ớt,7,303
quần,9,302
chiết_xuất,8,299
đứa,11,299
thực_khách,3,298
não,10,298
cha_mẹ,10,297
sơ_sinh,7,297
đảng,9,295
cao_su,8,288
đô_thị,11,287
nhôm,8,286
ma,9,284
chén,8,283
tiện_dụng,10,282
nhà_trường,7,282
tiêm,6,282
tế_bào,9,281
ốc,10,281
quạt,8,278
lotus,7,278
gạo,11,277
đại_lý,10,276
gamek,1,276
vách,6,276
dung_lượng,8,275
giòn,5,272
luộc,9,272
kệ,9,270
móng,10,269
chiên,9,268
dạy,9,268
công_dụng,10,268
canxi,6,266
tín_dụng,8,266
phấn,7,264
đóng_gói,9,264
nghỉ_dưỡng,6,264
bơm,11,264
khuẩn,8,262
băm,3,261
cay,8,260
dao,11,260
mts,1,259
trung_ương,11,259
sensor,2,259
bộ_trưởng,10,258
nệm,6,254
xốp,8,254
hóa_chất,11,253
diệt,7,253
chiến_thuật,5,253
ván,7,252
lệnh,11,252
mobifone,4,250
lẩu,5,250
dịu,9,246
lưới,11,244
link,8,244
thoa,7,243
sườn,9,242
quý_khách_hàng,7,242
phẫu_thuật,8,242
giấc_ngủ,10,242
cà_rốt,4,241
bọc,11,241
web,11,238
ngực,9,237
thực_đơn,6,237
đội_hình,3,236
kháng,11,235
chung_cư,10,234
bơ,6,234
hấp,6,234
phụ_huynh,8,232
quốc_hội,8,232
ndđt,3,231
tiêu_hóa,8,230
trận_đấu,5,229
tel,5,228
sản_phẩm_chất_liệu,3,227
tăng_giá,7,225
giáo_viên,10,223
chậu,10,223
chiến_đấu,10,223
thuê_bao,5,223
kim_loại,11,222
viettel,5,219
ngân_sách,10,218
chuột,10,216
ung_thư,10,216
smc,2,215
vi_khuẩn,9,213
ruột,11,213
vnpt,3,213
con_gái,10,213
dưỡng_chất,6,213
chanh,9,212
cấp_cứu,7,212
nạp,11,211
khỏe_mạnh,10,210
ướp,5,210
đồ_họa,4,209
lưu_trữ,11,209
son,9,209
ẩm_thực,8,208
bluetooth,3,207
đối_thủ,10,206
heo,8,205
sen,9,205
sofa,6,204
đậy,8,204
khóc,7,203
béo,11,202
vi_sóng,3,201
phun,11,201
city,10,200
chịu_nhiệt,5,200
dn,7,199
vận_tải,11,199
nhuyễn,6,199
đc,11,197
cổ_phần_hóa,5,197
asean,11,197
huy_động,10,197
nhập_vai,2,196
decal,2,196
