Token,Num_Labels,Num_Occurrences
game,9,4065
bất_động_sản,8,1601
bột,10,1204
hotline,11,1198
thai,10,1123
mm,8,1094
ml,9,975
thông_số,9,935
cổ_phiếu,7,923
bảo_hành,10,880
tướng,9,877
sạc,7,871
nồi,9,870
usb,6,862
kem,9,794
rau,11,775
độc_giả,10,753
dinh_dưỡng,11,751
cộng_tác,7,699
bền,8,699
bài_vở,6,695
banbientapicomvn,5,693
loa,7,689
căn_hộ,6,665
trứng,11,647
vitamin,9,636
tắm,9,589
muối,11,583
thủ_tướng,11,571
hương_vị,7,560
dặm,6,551
kiểu_dáng,11,548
rác,6,530
nướng,8,528
nến,8,524
nắp,8,519
nội_thất,11,517
thầy,10,503
bò,11,499
gia_vị,10,496
chứng_khoán,8,496
phát_điện,4,492
nhân_vật,8,486
thủy_tinh,10,486
tôm,7,483
thìa,6,480
đựng,10,470
mobile,7,469
inox,7,468
trọng_lượng,9,461
bề_mặt,10,458
camera,8,451
ẩm,11,447
quần_áo,11,447
thùng,10,442
dưỡng,8,442
đun,8,434
ngâm,8,433
cháo,8,430
bú,4,420
trò_chơi,10,419
giặt,9,414
tai_nghe,5,406
tinh_dầu,6,404
sôi,8,403
thai_nhi,4,402
dung_tích,8,400
di_động,9,387
thoáng,11,386
quỹ,11,384
mềm_mại,10,384
lít,9,378
bát,11,377
quy_hoạch,10,373
chảo,8,371
trộn,9,370
bđs,3,370
cảm_biến,4,368
mỹ_phẩm,6,363
xào,9,356
niêm_yết,9,355
động_cơ,8,354
omron,2,349
hạ_tầng,11,346
đĩa,11,346
váy,6,340
quý_khách,6,339
màng,11,339
gr,7,339
nêm,6,336
muỗng,6,334
lò,9,333
bố_mẹ,7,331
gối,10,330
phim,11,325
dừa,9,324
đồ_dùng,11,323
tần,2,322
bảo_an,3,321
viêm,10,321
phiên,10,320
led,7,319
xay,7,319
mụn,6,318
ubnd,10,315
nước_hoa,7,314
mẫu_mã,8,314
trang_điểm,7,313
tử_cung,3,311
thi_công,11,308
nàng,10,308
mặc,11,307
gừng,4,306
trái_cây,9,305
ánh,11,303
ớt,6,302
tỏi,5,301
quần,9,299
chiết_xuất,7,298
thực_khách,3,298
ho,9,298
cha_mẹ,10,294
cao_su,8,288
nhân_dân,10,287
đứa,10,286
nhôm,8,286
sơ_sinh,7,283
ma,8,283
đô_thị,11,283
đảng,9,282
tiện_dụng,10,282
chén,8,282
nhà_trường,7,280
khớp,11,280
ốc,9,279
lotus,7,278
gamek,1,276
quạt,7,275
gạo,11,273
