Token,Num_Labels,Num_Occurrences
game,9,3519
bất_động_sản,8,1533
thai,11,1080
mm,9,1053
bột,11,1005
ml,10,903
thông_số,10,898
sạc,7,868
usb,6,856
bảo_hành,10,834
tướng,8,802
bếp,11,784
nồi,9,766
dinh_dưỡng,9,716
kem,9,712
bhxh,4,711
rau,11,702
loa,7,689
bền,9,659
cộng_tác,9,639
bài_vở,7,635
banbientapicomvn,7,633
vay,11,631
vitamin,8,605
căn_hộ,6,591
thủ_tướng,11,574
tắm,10,554
dặm,6,532
hương_vị,7,523
thầy,11,502
nến,8,485
nắp,8,474
nhiệt,11,473
thủy_tinh,9,459
nội_thất,11,448
tín_dụng,8,437
phát_điện,3,435
nợ,8,429
trọng_lượng,9,428
bề_mặt,11,428
inox,7,427
nướng,8,427
quỹ,11,417
dưỡng,8,416
mobile,6,414
tai_nghe,4,405
quần_áo,9,405
rác,8,395
thai_nhi,4,392
tôm,8,391
cháo,8,390
bò,11,389
tinh_dầu,6,389
bảo_hiểm_xã_hội,4,387
lãi_suất,6,385
trò_chơi,11,383
nhân_vật,8,383
cáp,11,382
gia_vị,9,377
di_động,9,375
bú,4,374
ẩm,10,373
camera,10,372
giặt,9,369
bđs,4,366
dung_tích,8,366
đun,8,358
mềm_mại,10,355
quy_hoạch,10,349
cảm_biến,4,348
thùng,10,341
động_cơ,9,332
thìa,6,330
sôi,7,327
phim,11,325
mỹ_phẩm,6,325
nhân_dân,10,324
váy,6,320
ngâm,9,315
hạ_tầng,10,315
omron,2,315
led,8,314
màng,10,311
đảng,9,310
nước_hoa,7,310
quý_khách,7,309
bố_mẹ,7,306
ubnd,10,305
chảo,8,304
mẫu_mã,10,303
tử_cung,3,303
lít,10,302
lò,9,302
đồ_dùng,9,294
bảo_hiểm,10,291
trái_cây,9,291
mụn,6,291
gối,10,290
bảo_an,3,288
chiết_xuất,8,288
viêm,9,287
thi_công,11,284
tần,2,284
nhà_trường,8,283
miệng,11,279
nhôm,7,279
dừa,9,278
xào,9,276
cha_mẹ,10,276
quốc_hội,8,275
đứa,11,274
dn,8,273
tiện_dụng,11,272
bộ_trưởng,10,271
ma,9,264
quạt,6,264
gừng,4,263
dự_phòng,11,263
người_bệnh,7,262
hưu,10,262
đĩa,11,262
trang_điểm,7,260
mặc,11,260
gr,7,260
mts,1,259
sensor,2,259
nàng,8,259
công_dụng,11,258
dạy,10,258
trộn,10,258
thực_khách,3,255
cao_su,8,254
tế_bào,8,253
ván,7,252
canxi,5,251
mổ,8,250
ốc,8,248
muỗng,6,247
xay,8,246
nệm,6,246
bơm,11,246
đô_thị,10,245
dung_lượng,7,244
kệ,9,243
xốp,8,243
ngân_sách,10,242
móng,10,242
đóng_gói,10,242
lotus,5,240
sơ_sinh,8,236
phấn,8,236
đại_lý,11,235
hàng_hóa,11,234
dao,11,233
hóa_chất,11,233
vách,6,233
gamek,1,232
tài_khoản,11,232
quý_khách_hàng,7,232
não,9,230
chén,7,230
nhnn,3,229
nghỉ_dưỡng,7,229
nêm,5,229
ho,9,228
diệt,8,228
tiêm,6,227
chiến_thuật,5,225
web,11,222
quần,10,221
khuẩn,8,221
phụ_huynh,7,220
giấc_ngủ,9,220
bơ,7,220
trung_ương,11,220
du_khách,10,220
thoa,7,219
gam,10,218
giòn,6,217
dịu,9,217
chung_cư,8,217
tre,11,216
bệnh_nhân,9,215
lẩu,3,213
link,9,213
giáo_viên,9,212
tel,5,211
hội_đồng,11,209
kim_loại,10,209
cay,7,209
tiêu_hóa,7,208
con_gái,10,208
bluetooth,3,207
chuột,10,207
smc,2,206
ngực,9,206
chậu,9,206
dưỡng_chất,6,205
sản_phẩm_chất_liệu,3,202
chiên,10,201
mobifone,3,200
đội_hình,2,198
trận_đấu,5,197
decal,2,196
non,11,196
luộc,7,195
khỏe_mạnh,10,194
ruột,11,192
thực_đơn,5,191
lưu_trữ,11,191
đối_thủ,10,191
chanh,8,190
đc,11,189
vi_sóng,3,189
khóc,7,188
loại_hình,11,188
chiến_đấu,8,187
huy_động,11,187
hz,3,187
tỉ,8,186
đồng_chí,5,186
nghị_quyết,10,186
kw,3,186
thư_giãn,11,186
phun,11,185
âm_nhạc,11,185
ngoài_trời,11,184
hấp,5,183
viễn_thông,8,183
mật_ong,7,183
kháng,11,183
asean,11,182
cương,7,181
pc,6,181
bhyt,4,180
chính_trị,10,180
chịu_nhiệt,4,180
vui_lòng,11,180
vi_khuẩn,8,179
tẩy,9,179
băm,3,179
viettel,5,179
tỏi,4,178
biệt_thự,8,177
đồ_họa,4,177
kẹo,6,175
đậy,7,175
ớt,7,174
honda,8,174
lát,11,174
vận_tải,11,173
dân_số,10,173
đặc,10,173
điều_tra,11,172
pp,6,172
group,10,172
đẻ,8,171
locklock,2,170
ung_thư,11,170
đường_kính,9,169
sườn,9,169
nhập_vai,2,169
ủy_ban,10,169
người_lớn,11,169
cổ_phiếu,7,168
cài_đặt,7,168
massage,6,167
dễ_chịu,11,167
cà_rốt,4,167
hành_khách,6,167
ướp,6,167
chuối,9,166
lực_lượng,9,165
micro,4,164
ngăn_ngừa,11,164
khói,11,163
chần,5,163
drap,1,163
bảo_hiểm_tế,5,162
nghèo,11,162
xịt,7,162
đề_án,10,162
city,7,162
côn_trùng,7,162
nhi,11,161
làm_đẹp,11,161
tương_thích,5,160
khử,9,160
mặt_nạ,8,160
gia_dụng,7,160
mọc,10,160
khu_đô_thị,11,159
sứ,11,159
cọ,7,159
dê,9,158
thần,8,158
tinh_chất,5,158
cúm,7,157
thô,11,157
phơi,7,157
đại_biểu,7,157
chiến_thắng,11,156
tủ_lạnh,8,156
nh,9,156
tỷ_giá,5,156
yaskawa,2,156
khánh,11,156
cải_cách,9,156
sofa,6,155
nhuyễn,5,155
nguội,9,155
socola,4,155
sản_phẩm_chất_lượng,9,155
ngọt_ngào,10,154
cảm,11,154
heo,8,154
bảo_hộ,8,153
thưởng,11,153
tưới,7,153
êm_ái,11,153
hiệp,10,152
ban_hành,11,152
yến_mạch,3,152
phòng_chống,11,152
nguyên_chất,7,152
son,7,151
gỉ,5,151
iphone,5,150
sinh_hoạt,11,150
hlv,6,149
truy_cập,11,149
hiển_thị,9,149
xcm,5,149
cuộn,10,149
nghỉ_ngơi,11,149
sen,7,148
chim,10,148
sổ,9,148
hải_sản,11,148
cải,7,147
lông,10,146
gương,10,146
khuôn,8,146
nhà_bếp,6,146
bút,10,146
luminarc,1,145
cơ_quan_chức_năng,10,145
mô_tả,11,144
địch,3,144
hầm,11,144
tr,10,144
chua,6,144
hoa_quả,9,144
táo,9,144
cà_chua,6,143
lanaform,1,142
thực_vật,9,141
cấp_cứu,6,141
khoe,11,141
lãng_mạn,11,140
rà_soát,11,140
xơ,9,139
ngon_miệng,6,139
dạ_dày,4,139
ngoại_giao,8,139
plc,3,138
hòa_bình,11,138
súng,10,138
ốp,8,137
cháu,8,137
chất_béo,7,137
cafe,8,137
mặn,9,136
cơ_cấu,10,136
ủi,5,136
sữa_chua,4,136
smartphone,10,136
chùa,11,136
chính_quyền,9,135
miễn_dịch,7,135
bền_bỉ,8,135
gạch,9,135
hát,11,135
cỏ,11,135
lễ_hội,10,135
không_gỉ,4,135
cổ_đông,8,135
đậm_đà,5,134
bún,5,134
sửa_đổi,11,133
valve,4,133
dân_cư,11,133
nghị_định,11,132
bố,9,132
đặc_tính,11,132
set,9,132
gb,3,132
mồ_hôi,6,132
van,8,132
loài,10,131
phẫu_thuật,9,131
hiệu_trưởng,7,131
sinh_động,11,131
cốc,9,131
đai,10,130
hàm_lượng,8,130
súp,6,130
minh_bạch,10,130
quản_trị,11,129
bộ_máy,11,129
thi_đấu,6,128
áo_khoác,7,128
ồn,10,128
khẩu_vị,7,128
tổng_giám_đốc,7,128
sinh_tồn,3,127
condotel,1,127
vnpt,3,127
tay_cầm,11,127
hấp_thụ,6,127
nhân_lực,10,127
autonics,2,126
hđqt,7,126
độ_ẩm,6,125
nếp,9,125
điện_áp,3,124
chùi,4,124
igbt,1,124
phiên,8,124
cnc,3,124
model,8,124
nâu,11,124
cấu_tạo,5,123
thanh_niên,9,123
thanh_tra,10,123
mah,2,123
size,9,123
mini,11,123
ẩm_thực,7,123
nguyễn_xuân,7,123
hơn_tỷ,11,123
bỉm,2,123
vụ_việc,9,123
gameplay,1,122
hoa_hồng,9,122
tăng_giá,7,122
đúc,10,122
in,11,122
thu_thập,8,121
sưu_tập,10,121
kỷ_luật,7,121
laser,6,121
đòn,6,120
fanpage,10,120
vòi,10,120
dáng,10,120
nén,11,120
sạch_sẽ,11,120
thanh_lịch,10,120
khô_ráo,7,120
android,7,119
gas,7,119
lãi,7,119
yamaha,4,119
kế_toán,9,119
laptop,7,119
mờ,11,118
mịn_màng,8,118
bánh_xe,8,118
vé,10,118
hàng_không,7,118
nph,1,118
khuyến_mãi,9,118
sáp,5,118
thể_loại,6,118
richell,1,118
keo,10,117
nấm,9,117
ms,8,117
tư_thế,8,117
tuổi_thọ,10,117
chuyển_nhượng,9,117
quyền_lợi,11,117
hô_hấp,8,116
doosan,1,116
trầy_xước,6,116
phê_duyệt,11,116
địa_ốc,2,116
server,3,115
virus,5,115
ng,4,115
boss,4,115
sức_sống,10,115
thpt,9,115
bóng_đá,11,115
qh,8,115
thuê_bao,3,115
truyện,5,114
ftramart,1,114
nhiễm_trùng,6,114
apple,7,114
tổn_thương,10,114
thần_kinh,9,114
ấm_cúng,5,114
bs,7,113
hoa_văn,6,113
xét_nghiệm,6,113
thảo,9,113
kiều,9,113
triệu_chứng,7,113
giấy_tờ,9,113
quảng_bá,11,112
dưa,7,112
bán_lẻ,10,112
tư_nhân,11,112
dẻo,8,112
vv,10,112
phổi,6,112
dlqg,1,112
no,7,112
tuyên_truyền,8,112
chả,8,111
gan,10,111
dung_dịch,10,111
nước_mắm,4,111
xông,7,111
khuấy,5,111
thẩm_định,11,111
chà,7,111
khoai_lang,2,111
vi_tính,5,111
gợi_cảm,7,110
bền_màu,5,110
quỳnh_trang,5,110
đường_nét,8,109
đùi,7,109
khoáng_chất,6,109
học_trò,5,109
ngôi_sao,11,109
silicon,5,109
xà_phòng,4,109
trò_chuyện,11,108
series,8,108
skinfood,1,108
melamine,3,108
cảm_ứng,10,108
xưởng,8,108
trường_học,9,108
duyên,10,108
gdđt,6,108
vĩ_mô,6,107
chứng_khoán,8,107
bóc,9,107
nhiên_liệu,9,107
sân_khấu,10,107
thông_dụng,7,107
mi,9,107
nám,3,107
xinh_xắn,7,107
môi_giới,7,107
tin_dùng,8,107
sát_thương,2,107
sỹ,6,107
bày_tỏ,11,106
shop,9,106
dị_ứng,7,106
phiếu,10,106
nhăn,8,106
tĩnh_điện,6,106
jack,5,106
sennheiser,1,106
ngón,11,106
dâu,10,106
ngũ_hổ,1,106
ấm_áp,11,106
airlines,5,105
dễ_thương,10,105
hâm_mộ,10,105
gel,5,105
giấm,5,105
lõi,9,104
áp_suất,7,104
man,7,104
án,11,104
spa,8,104
nôn,3,104
anker,1,104
belkin,1,103
quy_cách,8,103
len,7,103
nhãn_hiệu,11,103
vũ_khí,10,103
cầu_thủ,6,103
đầm,8,103
mạ,10,102
bank,6,102
gọn_nhẹ,9,102
đạm,6,102
biến_dạng,4,102
sim,4,102
rang,7,102
chi_trả,11,102
ẩm_mốc,6,102
protein,5,102
nhờn,7,102
phạt,9,101
cotton,5,101
cửa_sổ,9,101
củng_cố,10,101
bồn,8,100
khớp,11,100
sản,11,100
cầu_thang,8,100
viền,9,100
inch,8,100
skin,4,100
cường_lực,3,100
thông_tư,9,100
vp,4,99
sản_phụ,3,99
coffee,6,99
thứ_trưởng,8,99
bạc_hà,6,99
xoắn,8,99
võ_gia,1,99
suy_nghĩ,9,99
xingapo,3,99
dịu_dàng,8,99
cưới,11,99
cực_kì,10,99
va_đập,6,99
tranh_chấp,8,99
tnr,1,99
nông_dân,9,99
muỗi,5,99
tần_số,6,98
đấu_thầu,7,98
ướt,7,98
khỏe,8,98
chó,8,98
bass,2,98
điều_lệ,9,98
lập_trình,5,98
loãng,11,98
khoai_tây,5,98
pv,10,98
bọt,7,98
đa_khoa,9,98
sinh_nhật,9,97
edifier,1,97
kẹp,8,97
bánh_quế,2,97
liên_quân,3,97
móc,11,97
đà,11,97
đồ_đạc,11,97
vacosi,1,97
dai,9,97
hữu_nghị,4,97
tài_nguyên,8,97
chắn,11,96
kông,10,96
tia,10,96
mỡ,10,96
lau_chùi,4,96
vdc,2,96
phó_chủ_tịch,10,96
bắp,9,96
abs,5,95
đh,6,95
úc,11,95
mừng,11,95
bình_dân,11,95
đề_kháng,6,95
khung_cảnh,7,95
lợn,10,95
lọ,11,95
lưu_lượng,8,95
bệnh_nhi,3,94
chân_lông,5,94
kiến_nghị,10,94
phương_châm,10,94
thcs,4,94
biến_động,9,94
đục,11,94
chăm,8,94
cốt_truyện,3,94
chì,9,93
bấm,10,93
túi_xách,8,93
horea,1,93
hủ_tiếu,3,93
tốt_nghiệp,8,93
bản_đồ,6,93
tem,8,93
chỉ_định,11,93
sáp_nhập,8,93
auto,5,93
dân_gian,11,93
áo_dài,6,93
con_trai,8,93
du_phong,1,92
rán,6,92
bàn_giao,9,92
môt,9,92
bã,6,92
nuôi_dưỡng,10,92
hư,8,92
mr,8,92
kiểm_toán,5,92
thua,11,91
sai_lầm,9,91
sữa_tươi,6,91
đệm,10,91
trơn,10,91
sonicgear,1,91
nước_dùng,5,91
bộ_nhớ,4,91
lung_linh,10,91
tác_giả,11,91
cách_thức,11,91
tiền_tệ,9,91
chùm,9,91
bí_đỏ,2,90
nhân_sự,9,90
hình_dáng,8,90
xổ_số,4,90
ipad,7,90
cung_cấp_thiết_bị,3,90
fpt,4,90
báo_giá,5,90
ghép,10,90
fan,10,89
trang_web,9,89
iii,11,89
đàn_hồi,5,89
tinh_khiết,8,89
kích_ứng,4,89
mỹ_thuật,5,89
văn,10,89
google,11,89
cuốn_hút,11,89
lạm_phát,6,89
nhà_kính,3,89
sắc_màu,9,89
cổ_phần_hóa,5,89
thục,5,89
phím,6,89
chay,9,89
mậu,9,88
vắt,6,88
quỳnh,9,88
hũ,5,88
cream,5,88
gốm,7,88
beta,5,88
dã_ngoại,9,88
kali,6,88
tân_phú,7,88
tham_nhũng,6,88
tô_điểm,11,88
giải_đấu,7,88
biến_chứng,4,88
combo,6,88
khuyến_mại,8,88
de,10,88
quốc_phòng,7,87
trang_nhã,9,87
lương_thế,2,87
hình_sự,6,87
siêu_âm,6,87
khay,8,87
thê,10,87
thú,11,87
giọng,11,87
axit,6,87
sương,11,87
chủng_loại,9,87
bìa,8,87
vóc_dáng,7,87
diễn_viên,6,86
họng,8,86
bổ_dưỡng,5,86
phâm,6,86
tham_quan,11,86
dragon,4,86
ngũ_cốc,6,86
th,8,86
team,3,86
định_vị,9,86
thí_sinh,6,86
rót,11,86
bánh_mì,6,86
httpbaoanjsccomvn,2,86
vặn,6,86
lành_nghề,7,86
sét,6,85
tuất,10,85
cách_mạng,11,85
thanh_xuân,10,85
nghệ_sĩ,11,85
giấy_phép,10,85
hợp_kim,4,85
bồi_thường,5,85
chân_không,4,85
tỉnh_thành_phố,10,85
diễn_đàn,8,85
tái_cơ_cấu,8,85
cư_dân,11,85
mpa,2,85
duplomatic,1,84
đình_đám,11,84
phân_giải,6,84
khủng,10,84
chấp_hành,8,84
ngôn_ngữ,11,84
kẽm,7,84
chocolate,4,84
nộ,2,84
thâm,11,84
gtvt,6,84
nhai,5,84
mdf,4,84
coleman,2,83
rây,3,83
chủ_lực,11,83
trang_chủ,7,83
dư_nợ,3,83
fdi,5,83
oxy,10,83
bong,9,83
kinh_phí,11,83
vĩnh_viễn,7,83
nội_trú,5,83
bang,8,83
pha_chế,7,82
item,2,82
phấn_đấu,11,82
acv,3,82
xứ,10,82
đt,6,82
động_viên,10,82
dịch_bệnh,5,82
đất_đai,5,82
thi_hành,8,82
league,3,82
collagen,5,82
đầu_ra,9,82
thiện,9,82
quốc_lộ,6,82
tồn_kho,7,82
xoài,8,82
mùi_vị,5,82
tái_tạo,9,81
pha_trộn,10,81
thẻ_nhớ,3,81
hòa_quyện,8,81
đấu,5,81
lắc,10,81
cào,4,81
khuôn_mặt,9,81
làm_quà,6,81
kích_cỡ,10,81
mè,4,81
koi,2,81
khoảng_tỷ,8,81
sức_khoẻ,11,81
đường_bay,4,81
pallet,1,81
kts,3,80
bo,7,80
bàn_phím,6,80
thương_vụ,8,80
công_thương,9,80
sẹo,5,80
ngành_hàng,7,80
thắp,9,80
thận,7,80
tiêu_chảy,6,80
trọng_điểm,11,80
tiền_lương,6,80
tháp,10,80
ban_đêm,9,80
vinaphone,3,80
bảo_dưỡng,11,80
nữ_tính,6,80
phù,11,79
dầu_mỡ,7,79
chẩn_đoán,7,79
huyết_áp,9,79
vướng_mắc,9,78
lạm_dụng,11,78
cốt_lõi,11,78
thẩm_thấu,6,78
vua,11,78
tác,11,78
cacao,4,78
tán,9,78
vtc,9,78
đắp,11,78
sunhouse,1,78
lightning,1,78
xám,11,78
lắp_ráp,7,78
đường_sắt,9,78
đại_hội,11,78
laurelle,1,78
đói,7,78
land,4,78
sai_phạm,9,78
tuyển_sinh,6,78
cành,6,78
bức_xúc,11,78
ti,5,78
phú_quốc,6,78
nát,8,78
cảnh_quan,7,78
chè,10,77
acid,6,77
cbre,1,77
goldseason,1,77
điện_thoại_di_động,10,77
bình_dương,6,77
lưỡi,4,77
chủ_nhân,11,77
air,9,77
nghiệp_vụ,9,77
công_nghệ_cao,10,77
trung_cấp,7,77
lưu_trú,4,77
studio,6,77
chiết_khấu,8,76
niêm_yết,10,76
rong,7,76
skiip,1,76
mỹ_nhân,5,76
thường_vụ,8,76
card,3,76
nang,6,76
đài_loan,7,76
nứt,8,76
legends,1,76
guitar,6,76
dứa,5,76
vac,2,76
trợ_cấp,6,76
chào_bán,3,76
làm_quen,7,75
rắc,8,75
hấp_thu,6,75
blw,1,75
phanh,8,75
clip,9,75
kiên_trì,10,75
sinh_tố,4,75
phat,8,75
nilon,7,75
cách_nhiệt,3,75
khen,10,75
chun,1,75
hưu_trí,2,75
đạo_đức,8,75
ngắn_hạn,7,75
công_chức,8,75
triển_lãm,11,75
quái,4,75
sỉ,5,75
ghi_nhớ,9,75
ngây,2,74
mượt,9,74
nhất_trí,5,74
cá_chép,5,74
chiêu,8,74
táo_bón,3,74
mát_mẻ,9,74
măng,6,74
real,4,74
đồng_đội,3,74
dự_thảo,9,74
cây_xanh,7,74
thôn,10,74
london,7,74
mitsubishi,5,74
hà_lan,10,74
victorinox,1,73
legend,4,73
phần_thưởng,6,73
nhung,10,73
chương,11,73
câp,8,73
mã_lực,2,73
ước_tính,11,73
ac,7,73
cắn,8,73
cc,6,73
download,5,72
danh_mục,10,72
danh_hiệu,10,72
lười,8,72
power,7,72
cô_giáo,4,72
bôi,5,72
energizer,2,72
logo,9,72
tổng_bí_thư,4,72
cựa,1,72
phó_giám_đốc,8,72
mmorpg,1,72
mp,6,72
details,2,72
nghiền,8,72
bảo_tồn,8,72
vnd,8,72
tiện_nghi,9,72
delfi,1,72
tổng_thống,8,71
tài_năng,11,71
mộc,10,71
nước_lọc,6,71
nếm,4,71
cước,7,71
hdpe,2,71
sản_sinh,8,71
vuông,11,71
hội_thảo,11,71
vịt,6,71
quấn,9,71
cummins,1,71
cuộc_chiến,8,71
má,8,71
mau,11,71
họa_tiết,9,71
thắt,10,71
hội_nhập,10,71
kĩ_năng,5,71
rối_loạn,9,71
thiết_yếu,11,71
hoa_hậu,5,71
vô_địch,8,71
ăn_mòn,3,71
tọa_lạc,3,70
gòn,4,70
tiểu_học,5,70
hiến,8,70
pubg,1,70
họa,5,70
chiếm_đoạt,7,70
vali,4,70
siêu_thị,9,70
emdep,1,70
dân_dụng,7,70
đảng_viên,4,70
phaner,1,70
vòngphút,3,70
ca_sĩ,7,70
máy_bơm,1,70
nước_lạnh,5,70
hiệu_suất,11,70
candle,2,69
nc,3,69
con_em,7,69
phòng_ngừa,11,69
dấu_ấn,11,69
quét,11,69
phai,10,69
kích_hoạt,9,69
quấy,3,69
ngành_nghề,9,69
ak,4,69
gia_công,8,69
tuyển_chọn,10,69
tân_sơn,7,69
trực_thuộc,11,69
linh_kiện,7,69
bổ,8,68
free,7,68
chuyên_dụng,11,68
hyundai,2,68
tiểu_đường,7,68
tivi,8,68
chân_đế,3,68
lục,8,68
đau_đớn,11,68
chât,8,68
thang_máy,9,68
biên_chế,6,68
biểu_diễn,10,68
ven,8,68
thuât,5,68
đông_lạnh,7,68
ký_kết,8,68
hot,10,68
trâm,6,68
trinh,11,68
cơn_sốt,9,68
khẩn_cấp,10,68
manga,1,68
twister,1,68
bidv,4,68
đạt_tỷ,5,68
phong_trào,9,68
bỏng,9,68
body,5,68
ngắt,7,68
lợi_dụng,9,67
quân_sự,11,67
thảo_dược,6,67
đối_phương,7,67
tăm,7,67
huyền_thoại,10,67
nhầm,10,67
nước_ối,1,67
thúy,6,67
zalo,8,67
bận_rộn,9,67
tráng,8,67
mu,6,67
nước_cốt,4,67
hạnh,11,67
dây_cáp,5,67
quế,8,67
toàn_thân,5,67
nấu_nướng,8,67
benfica,1,67
nhà_cái,3,67
